age,gpa,faminc,mayuse,attuse,attusers,streneff,athabil,wghtsat,sterknow,testknow,suppknow,peerinfo,teaminfo,coainfo,coachtol,bodyimg,esteem,impuls,rmay,rsupp,rtest
15,3.5,999,1,7,5.67,7,6.5,2,3,0,2,7,6,7,3,3.33,7,2,0,0,0
14,3.5,6,1,6.33,5,6.33,6.25,2,14,0,2,4,6.67,5.33,1,3,6.25,2.33,0,0,0
14,3,999,1,7,6.33,6.5,7,4,14,0,3,7,7,7,2,4.67,7,2.17,0,0,0
14,4,999,1,6.33,3,5.17,6.5,2,10,0,4,1,4.67,3.67,1.33,2.67,6.75,1.33,0,0,0
17,3.5,7,1.4,4.67,3.33,6,6,3,0,2,4,7,5.33,6,1.67,4,6,2,0,0,0
17,2.5,999,1,7,4.67,4.67,6.25,4,15,1,4,6,4.67,6,3,3,6.5,1.5,0,0,0
16,3,3,1,5,4,6.67,6.5,2,15,1,1,6.67,4,6.33,1,3,4,4,0,0,0
17,2,999,3.4,7,4.33,6.5,6,2,15,2,4,5,7,7,3,2,5.5,4.17,0,0,0
15,3.5,999,1,7,7,6.67,6.75,3,14,1,4,7,7,6.33,1,2.67,7,1.5,0,0,0
16,3,5,3,4.33,4.33,5.67,6,4,15,2,4,6,5.33,5,1,4,6,2.5,0,0,0
18,2.5,999,5.6,6,4,7,7,5,14,1,1,7,7,5.67,1,5,7,7,0,0,0
17,4,7,1,4,7,7,6.25,5,16,1,4,1,5,3,3,5,6.25,3,0,0,0
17,3.5,999,1,3.67,5,7,6.5,4,15,2,2,4,5,5,2,4.33,7,3.5,0,0,0
16,3.5,6,1,5,5.33,6.67,5.75,2,13,2,4,7,5.67,5.67,1,4,6.75,1.5,0,0,0
16,3.5,7,1,6.67,5.33,7,6.25,5,14,2,3,3.33,6,3.33,2,4,6.75,3,0,0,0
18,3,999,1,7,6,6.5,6.25,2,14,2,2,6,4.33,5.33,3.33,3.67,6.5,2.5,0,0,0
17,2.5,4,1.6,5,4,5.83,7,3,0,2,999,6,6,6,3,5,7,2.4,0,1,0
17,2.5,4,2.4,4.67,5,6.67,5.33,2,0,1,0,2.33,4,2.67,2,3,7,5.67,0,0,0
17,2.5,7,1,5,1.33,6,5.5,2,17,1,3,1,4.67,3,1.33,4.67,6.25,1.67,0,0,0
17,2.5,5,3.4,5,4,4,4,3,1,0,0,4,4,4.67,4,5,4,4,0,0,0
17,3,5,2.4,7,3,7,7,2,13,1,4,7,7,7,1,5,7,3,0,0,0
17,3.5,999,1,3.67,5,7,7,3,14,0,0,5,5,4,2,3.33,5,3.67,0,0,0
17,3.5,999,1,6.67,3.33,6,6,2,15,1,4,2,5.67,6,3,3,5.75,2.83,0,0,0
15,3.5,999,1,5.33,6,5.5,6.5,1,13,0,2,4.67,5.67,4.67,2.33,2.67,5.75,3.33,0,0,0
17,2,999,1.6,7,4.33,6.5,5,2,15,2,4,7,5.67,7,2.33,4,5.25,3.67,0,0,0
16,2.5,999,1,5.5,5.67,5.33,5,2,14,0,999,5.67,4,5.67,1.33,2,5,2.67,0,1,0
18,2.5,7,3.6,3.67,5.67,5.17,5.75,3,5,999,2,4,5,4,1,2.33,6.5,1.83,0,0,1
17,2,6,6,4.67,2.67,6.17,6,2,15,1,3,5.33,5.33,5.33,2,4,6.25,3.83,0,0,0
18,2.5,7,4.2,2.33,4.67,5.67,6.5,3,2,1,1,4,4.33,4,1,4,3.75,3.83,0,0,0
16,2,999,4,4.33,3.67,5.5,5.5,3,13,1,0,4.67,5.67,5.33,1.33,4,5.5,2.67,0,0,0
18,2,7,1,4,6,3.33,7,4,9,1,1,7,4,6.67,2,5,7,1.5,0,0,0
16,3.5,999,3.8,4.67,2.67,4.67,6,3,16,1,1,4,4.67,4,1.33,3,7,1.67,0,0,0
17,3,6,2,7,7,6.17,6.25,2,14,0,3,5.33,5.33,4,2.33,4,6.25,1.83,0,0,0
